"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
499813,4069,7031,44,10,15389,39699,62,3353.6,52737,0,0,0
294466,3916,4370,29.9,8.8,6402,24167,52.2,1966.7,32906,0,1,0
255162,2480,3182,31.5,10.5,8502,16751,66.1,1514.5,26573,0,0,0
127567,1218,2688,0,8.8,5255,22137,62.9,1213.3,21524,1,0,0
193125,8360,2673,46.3,8.2,4047,14347,53.6,1321.2,18350,0,0,1
137479,4935,2380,21.8,11,4071,17752,47.8,1061.2,16120,0,1,0
138214,2259,2147,38.6,9.3,5141,16485,44.6,966.8,14246,0,0,1
102816,1519,1950,31.8,10.5,4094,12545,54.6,906,14684,0,1,0
113821,782,1801,28.4,7.8,3119,8656,70.5,915.2,12591,0,0,0
116861,4651,1464,38.8,7.7,3380,8517,67.4,729.2,10375,0,0,0
91399,4226,1427,38.1,9.8,3285,5392,67.8,699.8,10918,0,0,0
63695,1456,1427,46.7,10.4,2484,8555,56.8,710.4,10104,0,1,0
68319,2149,1375,29.8,10.6,2530,8354,48.4,617.6,9037,0,1,0
67965,1590,1313,30.1,10.9,2296,9988,50.4,565.7,8411,1,0,0
99293,27293,1306,25.3,12.3,2018,6323,57.4,510.6,7399,0,0,0
81510,3341,1293,35.8,10.1,2289,7593,59.9,656.3,9106,0,1,0
107370,9155,1254,53.8,11.1,2280,6450,60.1,575.2,7766,0,0,0
76570,1300,1217,47.6,6.8,2794,4989,69,610.8,9215,0,0,0
61381,3072,1144,68,9.3,2181,7497,56,549.6,7736,0,1,0
69285,1967,1133,51.1,8.8,2520,8467,45.8,460.5,7038,0,0,1
77316,3650,1121,34.6,11.1,2358,6224,62.9,539.3,7792,0,0,0
62603,2460,1087,49.6,8.4,1874,7706,59.9,510.7,6658,0,1,0
62694,2527,1025,78.7,8.4,1760,7664,46.5,391.1,5582,0,0,1
54854,2966,970,26.9,10.3,2053,6604,56.3,450.4,6966,1,0,0
